,title,sales
108,"　
浦島坂田船の日常　







","**1,444pt"
109,"　
私、能力は平均値でって言ったよね！　




","***,326pt"
110,"　
食戟のソーマ 神ノ皿　



","***,295pt"
111,"　
この音とまれ！（第2クール）　



","***,183pt"
112,"　
アイカツオンパレード！　



","***,176pt"
113,"　
ばなにゃ ふしぎななかまたち　





","***,*51pt"
114,"　
炎炎ノ消防隊　







","*45,130pt"
115,"　
ありふれた職業で世界最強　






","*32,213pt"
116,"　
Dr.STONE　




","*11,916pt"
117,"　
ロード・エルメロイⅡ世の事件簿　-魔眼蒐集列車 Grace note-　



","**5,363pt"
118,"　
ダンジョンに出会いを求めるのは間違っているだろうかⅡ　







","*26,239pt"
119,"　
魔王様、リトライ！　






","*19,656pt"
120,"　
ダンベル何キロ持てる？　






","*15,982pt"
121,"　
ソウナンですか？　






","*12,811pt"
122,"　
可愛ければ変態でも好きになってくれますか？　






","*12,761pt"
123,"　
異世界チート魔術師　







","*15,889pt"
124,"　
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？　






","*12,567pt"
125,"　
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。　



","**2,869pt"
126,"　
女子高生の無駄づかい　






","*11,343pt"
127,"　
とある科学の一方通行　






","*11,148pt"
128,"　
まちカドまぞく　






","*10,134pt"
129,"　
あんさんぶるスターズ！　




","**4,196pt"
130,"　
彼方のアストラ　






","**7,323pt"
131,"　
手品先輩　







","**8,699pt"
132,"　
コップクラフト　






","**6,055pt"
133,"　
荒ぶる季節の乙女どもよ。　






","**5,913pt"
134,"　
戦姫絶唱シンフォギアXV　





","**3,801pt"
135,"　
ナカノヒトゲノム【実況中】　






","**4,834pt"
136,"　
胡蝶綺 ～若き信長～　





","**3,516pt"
137,"　
指先から本気の熱情-幼なじみは消防士-　



","**1,154pt"
138,"　
グランベルム　






","**3,584pt"
139,"　
BEM　






","**3,067pt"
140,"　
Re:ステージ！ ドリームデイズ♪　





","**1,831pt"
141,"　
トライナイツ　






","**1,372pt"
142,"　
ビジネスフィッシュ　






","***,686pt"
143,"　
からかい上手の高木さん2　



","***,152pt"
144,"　
鬼滅の刃　







","*98,136pt"
145,"　
ダイヤの　







","*55,383pt"
146,"　
ワンパンマン（第2期）　







","*34,974pt"
147,"　
賢者の孫　







","*32,634pt"
148,"　
文豪ストレイドッグス　






","*17,710pt"
149,"　
MIX　






","*16,186pt"
150,"　
フルーツバスケット　






","*13,226pt"
151,"　
異世界かるてっと　







","*16,464pt"
152,"　
ぼくたちは勉強ができない　







","*15,825pt"
153,"　
なんでここに先生が!? ＜もっとたゆたゆver.＞　




","**6,167pt"
154,"　
なんでここに先生が　







","*10,855pt"
155,"　
この世の果てで恋を唄う少女　






","**8,014pt"
156,"　
Fairy gone フェアリーゴーン　







","**9,367pt"
157,"　
真夜中のオカルト公務員　






","**7,364pt"
158,"　
世話やきキツネの仙狐さん　






","**7,226pt"
159,"　
みだらな青ちゃんは勉強ができない　







","**7,404pt"
