,title,scores,tent
0,              ヴァイオレット・エヴァーガーデン（TVアニメ動画）,4.1,7321人が棚に入れました
1,              宇宙よりも遠い場所（TVアニメ動画）,4.2,7102人が棚に入れました
2,              ゆるキャン△（TVアニメ動画）,4.0,5011人が棚に入れました
3,              からかい上手の高木さん（TVアニメ動画）,3.8,3940人が棚に入れました
4,              オーバーロード II（TVアニメ動画）,3.8,4482人が棚に入れました
5,              ダーリン・イン・ザ・フランキス（TVアニメ動画）,3.7,3659人が棚に入れました
6,              恋は雨上がりのように（TVアニメ動画）,3.7,2586人が棚に入れました
7,              りゅうおうのおしごと！（TVアニメ動画）,3.6,3097人が棚に入れました
8,              ハクメイとミコチ（TVアニメ動画）,3.8,1366人が棚に入れました
9,              斉木楠雄のΨ難 第2期（TVアニメ動画）,3.8,1581人が棚に入れました
10,              三ツ星カラーズ（TVアニメ動画）,3.7,1397人が棚に入れました
11,              スロウスタート（TVアニメ動画）,3.6,1671人が棚に入れました
12,              citrus（TVアニメ動画）,3.5,1761人が棚に入れました
13,              だがしかし2（TVアニメ動画）,3.5,1941人が棚に入れました
14,              七つの大罪 戒めの復活（TVアニメ動画）,3.6,1637人が棚に入れました
15,              ラーメン大好き小泉さん（TVアニメ動画）,3.5,1900人が棚に入れました
16,              博多豚骨ラーメンズ（TVアニメ動画）,3.5,1540人が棚に入れました
17,              デスマーチからはじまる異世界狂想曲（TVアニメ動画）,3.1,3266人が棚に入れました
18,              カードキャプターさくら クリアカード編 (2018)（TVアニメ動画）,3.6,1024人が棚に入れました
19,              刻刻（TVアニメ動画）,3.4,1395人が棚に入れました
20,              刀使ノ巫女（TVアニメ動画）,3.5,1109人が棚に入れました
21,              学園ベビーシッターズ（TVアニメ動画）,3.5,690人が棚に入れました
22,              銀魂. 銀ノ魂篇（TVアニメ動画）,3.6,574人が棚に入れました
23,              ミイラの飼い方（TVアニメ動画）,3.5,760人が棚に入れました
24,              新幹線変形ロボ シンカリオン THE ANIMATION（TVアニメ動画）,3.7,138人が棚に入れました
25,              グランクレスト戦記（TVアニメ動画）,3.3,1377人が棚に入れました
26,              アイドリッシュセブン（TVアニメ動画）,3.6,313人が棚に入れました
27,              弱虫ペダル GLORY LINE（TVアニメ動画）,3.4,733人が棚に入れました
28,              たくのみ。（TVアニメ動画）,3.3,1095人が棚に入れました
29,              HUGっと！プリキュア（TVアニメ動画）,3.5,132人が棚に入れました
