,title,scores,tent
77,              真夜中のオカルト公務員（TVアニメ動画）,3.0,540人が棚に入れました
78,              RobiHachi（TVアニメ動画）,3.8,330人が棚に入れました
79,              ノブナガ先生の幼な妻（TVアニメ動画）,3.9,528人が棚に入れました
80,              洗い屋さん！～俺とアイツが女湯で！？～（TVアニメ動画）,3.6,312人が棚に入れました
81,              女子かう生（TVアニメ動画）,1.0,425人が棚に入れました
82,              消滅都市（TVアニメ動画）,2.9,582人が棚に入れました
83,              なむあみだ仏っ！-蓮台 UTENA-（TVアニメ動画）,2.0,133人が棚に入れました
84,              BAKUMATSUクライシス（TVアニメ動画）,2.9,76人が棚に入れました
85,              群青のマグメル（TVアニメ動画）,2.5,337人が棚に入れました
86,              フリージ（TVアニメ動画）,3.2,30人が棚に入れました
87,              ジモトがジャパン（TVアニメ動画）,2.6,28人が棚に入れました
88,              爆丸バトルプラネット（TVアニメ動画）,3.3,24人が棚に入れました
89,              凹凸世界（TVアニメ動画）,4.2,21人が棚に入れました
90,              彼方のアストラ（TVアニメ動画）,3.9,2309人が棚に入れました
91,              女子高生の無駄づかい（TVアニメ動画）,3.9,2165人が棚に入れました
92,              Dr.STONE（TVアニメ動画）,3.8,1861人が棚に入れました
93,              ダンベル何キロ持てる？（TVアニメ動画）,3.7,2129人が棚に入れました
94,              まちカドまぞく（TVアニメ動画）,3.9,1397人が棚に入れました
95,              荒ぶる季節の乙女どもよ。（TVアニメ動画）,3.8,1640人が棚に入れました
96,              からかい上手の高木さん②（TVアニメ動画）,3.9,1565人が棚に入れました
97,              ヴィンランド・サガ（TVアニメ動画）,3.9,1054人が棚に入れました
98,              ダンジョンに出会いを求めるのは間違っているだろうかII（TVアニメ動画）,3.6,2296人が棚に入れました
99,              ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note-（TVアニメ動画）,3.7,1223人が棚に入れました
100,              ソウナンですか？（TVアニメ動画）,3.5,1480人が棚に入れました
101,              炎炎ノ消防隊（TVアニメ動画）,3.6,1391人が棚に入れました
102,              可愛ければ変態でも好きになってくれますか？（TVアニメ動画）,3.3,1525人が棚に入れました
103,              戦姫絶唱シンフォギアXV (第5期)（TVアニメ動画）,3.8,379人が棚に入れました
104,              ありふれた職業で世界最強（TVアニメ動画）,3.1,2086人が棚に入れました
105,              コップクラフト（TVアニメ動画）,3.4,958人が棚に入れました
106,              とある科学の一方通行（TVアニメ動画）,3.4,1383人が棚に入れました
107,              Re：ステージ！ ドリームデイズ♪（TVアニメ動画）,3.6,336人が棚に入れました
108,              手品先輩（TVアニメ動画）,3.3,1155人が棚に入れました
109,              うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。（TVアニメ動画）,3.3,1067人が棚に入れました
110,              魔王様、リトライ！（TVアニメ動画）,3.2,1287人が棚に入れました
111,              グランベルム （TVアニメ動画）,3.3,576人が棚に入れました
112,              ギヴン（TVアニメ動画）,3.3,325人が棚に入れました
113,              通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？（TVアニメ動画）,3.0,1195人が棚に入れました
114,              BEM（TVアニメ動画）,3.2,322人が棚に入れました
115,              ビジネスフィッシュ（TVアニメ動画）,3.2,90人が棚に入れました
116,              かつて神だった獣たちへ（TVアニメ動画）,3.1,625人が棚に入れました
117,              スタミュ（第3期）（TVアニメ動画）,3.2,86人が棚に入れました
118,              博多明太！ぴりからこちゃん（TVアニメ動画）,2.9,52人が棚に入れました
119,              胡蝶綺 ～若き信長～（TVアニメ動画）,2.6,190人が棚に入れました
120,              闇芝居(第7期)（TVアニメ動画）,3.0,57人が棚に入れました
121,              ナカノヒトゲノム【実況中】（TVアニメ動画）,1.7,484人が棚に入れました
122,              あんさんぶるスターズ！（TVアニメ動画）,3.0,207人が棚に入れました
123,              異世界チート魔術師（TVアニメ動画）,1.9,1065人が棚に入れました
124,              指先から本気の熱情 -幼なじみは消防士-（TVアニメ動画）,3.2,92人が棚に入れました
125,              トライナイツ（TVアニメ動画）,1.8,104人が棚に入れました
126,              パプリカ　米津玄師バージョン（TVアニメ動画）,3.3,17人が棚に入れました
127,              ゼノンザード THE ANIMATION（TVアニメ動画）,0.0,16人が棚に入れました
128,              ハイスコアガール II（TVアニメ動画）,4.0,1116人が棚に入れました
129,              ちはやふる3（TVアニメ動画）,4.0,1125人が棚に入れました
130,              慎重勇者 ～この勇者が俺TUEEEくせに慎重すぎる～（TVアニメ動画）,3.7,2070人が棚に入れました
131,              この音とまれ！ 第2クール（TVアニメ動画）,3.9,613人が棚に入れました
132,              本好きの下剋上～司書になるためには手段を選んでいられません～（TVアニメ動画）,3.6,1209人が棚に入れました
133,              ソードアート・オンライン アリシゼーション War of Underworld（TVアニメ動画）,3.7,1781人が棚に入れました
134,              BEASTARS（TVアニメ動画）,3.7,937人が棚に入れました
135,              僕のヒーローアカデミア（第4期）（TVアニメ動画）,3.8,802人が棚に入れました
136,              ぼくたちは勉強ができない！ 第2期（TVアニメ動画）,3.6,1087人が棚に入れました
137,              PSYCHO-PASS サイコパス 3（TVアニメ動画）,3.5,1491人が棚に入れました
138,              食戟のソーマ 神ノ皿（TVアニメ動画）,3.6,773人が棚に入れました
139,              魔入りました！入間くん（TVアニメ動画）,3.6,468人が棚に入れました
140,              Fate／Grand Order -絶対魔獣戦線バビロニア-（TVアニメ動画）,3.6,805人が棚に入れました
141,              俺を好きなのはお前だけかよ（TVアニメ動画）,3.4,1337人が棚に入れました
142,              旗揚！けものみち（TVアニメ動画）,3.4,933人が棚に入れました
143,              私、能力は平均値でって言ったよね！（TVアニメ動画）,3.3,1097人が棚に入れました
144,              バビロン（TVアニメ動画）,3.3,814人が棚に入れました
145,              ラディアン 第2シリーズ（TVアニメ動画）,3.5,190人が棚に入れました
146,              放課後さいころ倶楽部（TVアニメ動画）,3.3,694人が棚に入れました
147,              星合の空（TVアニメ動画）,3.4,555人が棚に入れました
148,              兄に付ける薬はない！3（TVアニメ動画）,3.4,129人が棚に入れました
149,              ライフル・イズ・ビューティフル（TVアニメ動画）,3.3,436人が棚に入れました
150,              耐え子の日常（TVアニメ動画）,3.4,34人が棚に入れました
151,              歌舞伎町シャーロック（TVアニメ動画）,3.2,509人が棚に入れました
152,              あひるの空（TVアニメ動画）,3.3,470人が棚に入れました
153,              GRANBLUE FANTASY The Animation season2（TVアニメ動画）,3.3,345人が棚に入れました
154,              七つの大罪 神々の逆鱗（TVアニメ動画）,3.3,515人が棚に入れました
